StudentID,Gender,Age,StudyHoursPerWeek,AttendanceRate,GPA,Major,PartTimeJob,ExtraCurricularActivities,StudyGroup,At_Risk
12,Male,19,4,62.54,2.04,Science,No,Yes,Low Study,True
34,Female,19,2,56.75,2.22,Education,Yes,Yes,Low Study,True
119,Female,18,7,54.43,2.35,Arts,Yes,Yes,Low Study,True
140,Male,23,4,56.22,2.46,Engineering,No,Yes,Low Study,True
189,Male,21,6,64.07,2.34,Science,No,No,Low Study,True
212,Male,20,2,58.02,2.13,Arts,Yes,No,Low Study,True
214,Male,18,2,61.93,2.45,Science,Yes,Yes,Low Study,True
218,Male,19,9,59.46,2.48,Engineering,Yes,No,Low Study,True
236,Female,18,1,68.83,2.28,Science,Yes,No,Low Study,True
270,Male,21,6,57.95,2.04,Science,Yes,No,Low Study,True
292,Male,22,5,66.04,2.44,Business,No,No,Low Study,True
303,Male,23,5,54.56,2.35,Business,No,No,Low Study,True
307,Female,20,2,50.89,2.27,Arts,No,No,Low Study,True
319,Male,18,6,61.28,2.09,Science,Yes,No,Low Study,True
353,Male,23,9,66.1,2.21,Education,Yes,No,Low Study,True
361,Female,20,2,56.21,2.21,Arts,No,Yes,Low Study,True
386,Female,22,1,66.45,2.14,Arts,Yes,No,Low Study,True
400,Male,21,1,61.03,2.22,Business,Yes,No,Low Study,True
402,Female,20,2,60.18,2.19,Engineering,Yes,Yes,Low Study,True
423,Female,21,8,67.96,2.36,Arts,No,No,Low Study,True
424,Male,21,1,69.19,2.11,Engineering,No,No,Low Study,True
447,Male,21,7,50.45,2.32,Education,Yes,No,Low Study,True
486,Female,20,2,69.87,2.36,Education,Yes,Yes,Low Study,True
