StudentID,Age,StudyHoursPerWeek,AttendanceRate,GPA,Major
1,24,37,90.75,3.47,Arts
2,22,37,74.9,2.32,Education
3,22,10,53.36,2.38,Business
4,24,10,70.26,3.46,Science
5,18,19,74.87,2.31,Education
6,20,17,86.01,2.47,Business
7,19,21,55.33,3.93,Arts
8,18,14,57.0,2.51,Education
9,19,9,63.18,3.32,Business
10,24,1,63.32,3.96,Engineering
11,23,13,86.61,2.75,Engineering
12,19,4,62.54,2.04,Science
13,20,1,81.65,2.49,Business
14,23,32,74.71,3.66,Engineering
15,19,34,78.66,3.73,Arts
16,24,28,91.91,3.54,Business
17,23,31,70.22,2.23,Arts
18,24,8,88.55,3.59,Arts
19,19,39,71.1,3.84,Engineering
20,24,26,67.69,3.2,Business
21,20,34,97.93,3.88,Education
22,19,3,59.22,3.65,Engineering
23,19,12,54.52,3.33,Engineering
24,19,1,88.55,3.15,Business
25,18,5,53.41,2.7,Business
26,18,30,91.85,2.32,Arts
27,18,30,71.86,3.21,Business
28,20,17,95.78,2.64,Arts
29,23,23,86.08,3.73,Engineering
30,24,15,80.52,3.99,Science
31,22,37,97.47,3.5,Education
32,19,21,69.83,2.18,Engineering
33,24,14,97.7,2.58,Business
34,19,2,56.75,2.22,Education
35,20,11,74.19,3.3,Science
36,19,39,63.5,3.53,Science
37,18,38,76.99,3.85,Arts
38,22,34,58.1,2.88,Education
39,21,38,92.08,3.8,Arts
40,19,34,92.32,3.76,Engineering
41,24,18,97.76,2.63,Education
42,18,30,57.73,3.74,Engineering
43,21,15,81.17,2.75,Arts
44,22,27,73.71,2.59,Education
45,21,34,67.22,3.3,Arts
46,18,38,67.58,2.66,Education
47,23,33,70.64,3.26,Arts
48,23,24,85.25,3.22,Science
49,21,15,79.91,3.13,Arts
50,20,30,72.98,2.76,Science
51,24,17,53.8,3.1,Arts
52,24,5,53.89,3.19,Education
53,21,29,50.12,3.09,Education
54,19,4,98.38,2.89,Education
55,19,10,50.26,2.03,Business
56,24,17,55.15,3.17,Engineering
57,24,10,65.73,2.34,Education
58,23,17,90.37,3.29,Science
59,20,20,98.1,3.52,Education
60,18,24,89.5,3.0,Business
61,19,5,84.53,3.08,Science
62,24,34,76.07,3.9,Business
63,23,6,54.34,3.69,Science
64,22,2,97.91,3.83,Arts
65,23,13,87.92,3.63,Engineering
66,19,11,81.95,2.22,Engineering
67,19,23,87.95,2.3,Business
68,23,16,86.21,3.05,Engineering
69,18,31,81.86,2.49,Business
70,21,11,99.03,2.95,Business
71,19,16,95.17,2.79,Business
72,23,8,82.33,3.1,Engineering
73,24,4,84.66,3.49,Business
74,23,4,52.58,3.43,Engineering
75,20,25,83.5,3.04,Business
76,21,3,52.21,3.64,Education
77,22,32,79.41,2.86,Business
78,18,3,99.97,3.79,Science
79,22,27,77.79,2.14,Business
80,21,29,73.66,3.91,Arts
81,21,32,65.64,3.31,Business
82,21,19,56.03,2.76,Science
83,22,21,86.55,2.39,Science
84,24,5,59.63,2.96,Engineering
85,21,18,55.76,2.39,Education
86,23,28,71.09,2.33,Business
87,22,22,89.77,3.23,Engineering
88,21,21,87.25,3.05,Education
89,23,6,52.74,3.34,Business
90,24,1,72.76,3.86,Arts
91,20,5,76.12,3.06,Business
92,24,12,82.23,3.16,Science
93,21,26,82.51,2.18,Science
94,22,34,68.23,3.44,Arts
95,19,14,78.03,2.8,Engineering
96,21,26,74.05,3.95,Education
97,19,27,94.25,3.65,Business
98,23,9,76.51,3.04,Science
99,20,26,72.05,2.25,Engineering
100,18,22,70.22,3.72,Arts
101,24,30,78.62,3.6,Science
102,20,17,90.2,2.37,Arts
103,21,26,76.92,2.59,Business
104,19,36,83.08,3.59,Education
105,24,1,86.89,2.37,Science
106,19,8,76.01,3.84,Science
107,22,35,71.34,2.85,Business
108,19,15,93.83,2.17,Engineering
109,22,22,70.88,3.63,Education
110,23,14,73.1,2.75,Science
111,24,26,99.52,3.05,Education
112,24,28,50.01,2.22,Science
113,18,23,59.27,2.01,Education
114,21,14,69.2,3.28,Arts
115,22,24,96.63,3.03,Science
116,18,2,53.5,3.19,Education
117,19,26,50.47,3.59,Engineering
118,19,14,52.63,3.29,Arts
119,18,7,54.43,2.35,Arts
120,24,3,51.88,2.72,Engineering
121,19,23,73.99,3.81,Education
122,23,18,79.04,3.54,Business
123,23,38,63.58,3.11,Engineering
124,18,35,69.91,2.51,Education
125,22,15,54.58,2.6,Engineering
126,22,25,66.82,3.46,Engineering
