StudentID,Gender,Age,StudyHoursPerWeek,AttendanceRate,GPA,Major,PartTimeJob,ExtraCurricularActivities
1.0,Male,24.0,37.0,90.75,3.47,Arts,Yes,No
2.0,Female,22.0,37.0,74.9,2.32,Education,No,No
3.0,Male,22.0,10.0,53.36,2.38,Business,No,No
4.0,Male,24.0,10.0,70.26,3.46,Science,Yes,No
5.0,Male,18.0,19.0,74.87,2.31,Education,Yes,No
6.0,Female,20.0,17.0,86.01,2.47,Business,Yes,No
7.0,Male,19.0,21.0,55.33,3.93,Arts,No,No
8.0,Male,18.0,14.0,57.0,2.51,Education,No,No
9.0,Male,19.0,9.0,63.18,3.32,Business,No,No
10.0,Female,24.0,1.0,63.32,3.96,Engineering,Yes,Yes
11.0,Male,23.0,13.0,86.61,2.75,Engineering,Yes,No
12.0,Male,19.0,4.0,62.54,2.04,Science,No,Yes
13.0,Male,20.0,1.0,81.65,2.49,Business,No,No
14.0,Male,23.0,32.0,74.71,3.66,Engineering,Yes,No
15.0,Female,19.0,34.0,78.66,3.73,Arts,Yes,Yes
16.0,Male,24.0,28.0,91.91,3.54,Business,Yes,No
17.0,Female,23.0,31.0,70.22,2.23,Arts,Yes,Yes
18.0,Female,24.0,8.0,88.55,3.59,Arts,No,Yes
19.0,Female,19.0,39.0,71.1,3.84,Engineering,Yes,Yes
20.0,Male,24.0,26.0,67.69,3.2,Business,Yes,No
21.0,Female,20.0,34.0,97.93,3.88,Education,Yes,No
22.0,Male,19.0,3.0,59.22,3.65,Engineering,No,No
23.0,Female,19.0,12.0,54.52,3.33,Engineering,No,Yes
24.0,Female,19.0,1.0,88.55,3.15,Business,Yes,Yes
25.0,Female,18.0,5.0,53.41,2.7,Business,Yes,No
26.0,Female,18.0,30.0,91.85,2.32,Arts,Yes,No
27.0,Female,18.0,30.0,71.86,3.21,Business,No,No
28.0,Female,20.0,17.0,95.78,2.64,Arts,No,No
29.0,Female,23.0,23.0,86.08,3.73,Engineering,No,No
30.0,Female,24.0,15.0,80.52,3.99,Science,Yes,Yes
31.0,Male,22.0,37.0,97.47,3.5,Education,No,Yes
32.0,Male,19.0,21.0,69.83,2.18,Engineering,Yes,Yes
33.0,Female,24.0,14.0,97.7,2.58,Business,Yes,No
34.0,Female,19.0,2.0,56.75,2.22,Education,Yes,Yes
35.0,Female,20.0,11.0,74.19,3.3,Science,No,Yes
36.0,Male,19.0,39.0,63.5,3.53,Science,Yes,Yes
37.0,Female,18.0,38.0,76.99,3.85,Arts,No,Yes
38.0,Male,22.0,34.0,58.1,2.88,Education,No,Yes
39.0,Male,21.0,38.0,92.08,3.8,Arts,Yes,No
40.0,Male,19.0,34.0,92.32,3.76,Engineering,Yes,Yes
41.0,Male,24.0,18.0,97.76,2.63,Education,No,No
42.0,Male,18.0,30.0,57.73,3.74,Engineering,Yes,No
43.0,Female,21.0,15.0,81.17,2.75,Arts,No,No
44.0,Female,22.0,27.0,73.71,2.59,Education,Yes,No
45.0,Female,21.0,34.0,67.22,3.3,Arts,No,No
46.0,Female,18.0,38.0,67.58,2.66,Education,No,Yes
47.0,Female,23.0,33.0,70.64,3.26,Arts,No,Yes
48.0,Male,23.0,24.0,85.25,3.22,Science,No,No
49.0,Female,21.0,15.0,79.91,3.13,Arts,Yes,No
50.0,Female,20.0,30.0,72.98,2.76,Science,Yes,No
51.0,Male,24.0,17.0,53.8,3.1,Arts,No,Yes
52.0,Female,24.0,5.0,53.89,3.19,Education,No,No
53.0,Male,21.0,29.0,50.12,3.09,Education,Yes,Yes
54.0,Female,19.0,4.0,98.38,2.89,Education,Yes,No
55.0,Male,19.0,10.0,50.26,2.03,Business,Yes,Yes
56.0,Female,24.0,17.0,55.15,3.17,Engineering,Yes,No
57.0,Female,24.0,10.0,65.73,2.34,Education,Yes,Yes
58.0,Male,23.0,17.0,90.37,3.29,Science,Yes,No
59.0,Male,20.0,20.0,98.1,3.52,Education,No,Yes
60.0,Male,18.0,24.0,89.5,3.0,Business,Yes,Yes
61.0,Male,19.0,5.0,84.53,3.08,Science,Yes,Yes
62.0,Male,24.0,34.0,76.07,3.9,Business,No,Yes
63.0,Male,23.0,6.0,54.34,3.69,Science,Yes,Yes
64.0,Male,22.0,2.0,97.91,3.83,Arts,Yes,Yes
65.0,Male,23.0,13.0,87.92,3.63,Engineering,Yes,Yes
66.0,Female,19.0,11.0,81.95,2.22,Engineering,Yes,No
67.0,Female,19.0,23.0,87.95,2.3,Business,Yes,No
68.0,Male,23.0,16.0,86.21,3.05,Engineering,No,No
69.0,Female,18.0,31.0,81.86,2.49,Business,Yes,No
70.0,Female,21.0,11.0,99.03,2.95,Business,No,No
71.0,Female,19.0,16.0,95.17,2.79,Business,No,Yes
72.0,Female,23.0,8.0,82.33,3.1,Engineering,Yes,Yes
73.0,Male,24.0,4.0,84.66,3.49,Business,No,Yes
74.0,Female,23.0,4.0,52.58,3.43,Engineering,Yes,Yes
75.0,Male,20.0,25.0,83.5,3.04,Business,No,Yes
76.0,Female,21.0,3.0,52.21,3.64,Education,No,No
77.0,Female,22.0,32.0,79.41,2.86,Business,Yes,No
78.0,Female,18.0,3.0,99.97,3.79,Science,Yes,No
79.0,Male,22.0,27.0,77.79,2.14,Business,Yes,No
80.0,Female,21.0,29.0,73.66,3.91,Arts,Yes,Yes
81.0,Male,21.0,32.0,65.64,3.31,Business,Yes,Yes
82.0,Female,21.0,19.0,56.03,2.76,Science,No,Yes
83.0,Male,22.0,21.0,86.55,2.39,Science,No,No
84.0,Female,24.0,5.0,59.63,2.96,Engineering,No,Yes
85.0,Male,21.0,18.0,55.76,2.39,Education,No,No
86.0,Male,23.0,28.0,71.09,2.33,Business,No,Yes
87.0,Female,22.0,22.0,89.77,3.23,Engineering,No,Yes
88.0,Male,21.0,21.0,87.25,3.05,Education,No,No
89.0,Female,23.0,6.0,52.74,3.34,Business,Yes,Yes
90.0,Female,24.0,1.0,72.76,3.86,Arts,Yes,Yes
91.0,Female,20.0,5.0,76.12,3.06,Business,No,No
92.0,Female,24.0,12.0,82.23,3.16,Science,No,Yes
93.0,Female,21.0,26.0,82.51,2.18,Science,Yes,No
94.0,Female,22.0,34.0,68.23,3.44,Arts,Yes,Yes
95.0,Female,19.0,14.0,78.03,2.8,Engineering,Yes,Yes
96.0,Female,21.0,26.0,74.05,3.95,Education,Yes,Yes
97.0,Female,19.0,27.0,94.25,3.65,Business,No,Yes
98.0,Female,23.0,9.0,76.51,3.04,Science,Yes,Yes
99.0,Female,20.0,26.0,72.05,2.25,Engineering,No,Yes
100.0,Male,18.0,22.0,70.22,3.72,Arts,No,Yes
101.0,Male,24.0,30.0,78.62,3.6,Science,No,Yes
102.0,Female,20.0,17.0,90.2,2.37,Arts,Yes,No
103.0,Female,21.0,26.0,76.92,2.59,Business,Yes,No
104.0,Female,19.0,36.0,83.08,3.59,Education,No,Yes
105.0,Female,24.0,1.0,86.89,2.37,Science,No,Yes
106.0,Female,19.0,8.0,76.01,3.84,Science,No,No
107.0,Female,22.0,35.0,71.34,2.85,Business,Yes,Yes
