Data,Temperatura,Humidade
06/01/2023 19:00:00 -03:00,27.2,82.6
06/01/2023 20:00:00 -03:00,27,83
06/01/2023 21:00:00 -03:00,27,83
06/01/2023 22:00:00 -03:00,26.7,83.9
06/01/2023 23:00:00 -03:00,26.5,85.4
07/01/2023 00:00:00 -03:00,26.4,85.2
07/01/2023 01:00:00 -03:00,26.1,86
07/01/2023 02:00:00 -03:00,26,86.2
07/01/2023 03:00:00 -03:00,25.9,85.5
07/01/2023 04:00:00 -03:00,25.5,87.6
07/01/2023 05:00:00 -03:00,25.2,89.7
07/01/2023 06:00:00 -03:00,28.1,78.4
07/01/2023 07:00:00 -03:00,28.4,76.2
07/01/2023 08:00:00 -03:00,29.4,70.7
07/01/2023 09:00:00 -03:00,30.2,68.2
07/01/2023 10:00:00 -03:00,30.5,67.4
07/01/2023 11:00:00 -03:00,30.8,66.1
07/01/2023 12:00:00 -03:00,30.7,67.8
07/01/2023 13:00:00 -03:00,30.9,64.9
07/01/2023 14:00:00 -03:00,30.4,67.7
07/01/2023 15:00:00 -03:00,29.8,71
07/01/2023 16:00:00 -03:00,28.4,75.8
07/01/2023 17:00:00 -03:00,27.7,78.8
07/01/2023 18:00:00 -03:00,27.3,80.6
07/01/2023 19:00:00 -03:00,27.1,80.2
07/01/2023 20:00:00 -03:00,26.8,80.5
07/01/2023 21:00:00 -03:00,26.8,80.9
07/01/2023 22:00:00 -03:00,26.8,81.2
07/01/2023 23:00:00 -03:00,26.6,81
08/01/2023 00:00:00 -03:00,26.5,82.6
08/01/2023 01:00:00 -03:00,25.7,86.7
08/01/2023 02:00:00 -03:00,25.8,87.8
08/01/2023 03:00:00 -03:00,24.7,92
08/01/2023 04:00:00 -03:00,24.1,93.9
08/01/2023 05:00:00 -03:00,24.3,93.5
08/01/2023 06:00:00 -03:00,27.3,83.4
08/01/2023 07:00:00 -03:00,29.3,72.4
08/01/2023 08:00:00 -03:00,29.8,71.2
08/01/2023 09:00:00 -03:00,29.4,74.5
08/01/2023 10:00:00 -03:00,30,71.8
08/01/2023 11:00:00 -03:00,29.8,72.5
08/01/2023 12:00:00 -03:00,30.2,70.7
08/01/2023 13:00:00 -03:00,30,71.6
08/01/2023 14:00:00 -03:00,29.9,69.7
08/01/2023 15:00:00 -03:00,29,71.8
08/01/2023 16:00:00 -03:00,28.6,74.1
08/01/2023 17:00:00 -03:00,27.7,78.7
08/01/2023 18:00:00 -03:00,27.2,80.3
08/01/2023 19:00:00 -03:00,27.1,81.3
08/01/2023 20:00:00 -03:00,27,81.1
08/01/2023 21:00:00 -03:00,26.8,83.1
08/01/2023 22:00:00 -03:00,26.7,83.5
08/01/2023 23:00:00 -03:00,26.4,85.4
09/01/2023 00:00:00 -03:00,25.8,88
09/01/2023 01:00:00 -03:00,24.4,94.1
09/01/2023 02:00:00 -03:00,23.9,95.8
09/01/2023 03:00:00 -03:00,23.3,97.4
09/01/2023 04:00:00 -03:00,23,98
09/01/2023 05:00:00 -03:00,23,98
09/01/2023 06:00:00 -03:00,25.1,91.4
09/01/2023 07:00:00 -03:00,28.8,78.6
09/01/2023 08:00:00 -03:00,30.1,72.9
09/01/2023 09:00:00 -03:00,30,73.4
09/01/2023 10:00:00 -03:00,30.5,71.4
09/01/2023 11:00:00 -03:00,30.4,71.4
09/01/2023 12:00:00 -03:00,30.2,72.6
09/01/2023 13:00:00 -03:00,30.7,68.4
09/01/2023 14:00:00 -03:00,30.3,69.6
09/01/2023 15:00:00 -03:00,29.9,71.8
09/01/2023 16:00:00 -03:00,29.3,73.9
09/01/2023 17:00:00 -03:00,27.8,78
09/01/2023 18:00:00 -03:00,27.4,80.2
09/01/2023 19:00:00 -03:00,27.3,81.3
09/01/2023 20:00:00 -03:00,27.1,81.6
09/01/2023 21:00:00 -03:00,26.9,82
09/01/2023 22:00:00 -03:00,26.8,82.8
09/01/2023 23:00:00 -03:00,26.5,85.2
10/01/2023 00:00:00 -03:00,25.8,88.2
10/01/2023 01:00:00 -03:00,25.2,89.6
10/01/2023 02:00:00 -03:00,24,95.2
10/01/2023 03:00:00 -03:00,23.4,96.9
10/01/2023 04:00:00 -03:00,23.1,97.8
10/01/2023 05:00:00 -03:00,23.3,97.4
10/01/2023 06:00:00 -03:00,26.3,86.6
10/01/2023 07:00:00 -03:00,28.9,74.9
10/01/2023 08:00:00 -03:00,30.2,69
10/01/2023 09:00:00 -03:00,30.6,67.6
10/01/2023 10:00:00 -03:00,30.9,66.5
10/01/2023 11:00:00 -03:00,30.8,66.5
10/01/2023 12:00:00 -03:00,31.1,66.9
10/01/2023 13:00:00 -03:00,30.8,68.8
10/01/2023 14:00:00 -03:00,30.7,69.1
10/01/2023 15:00:00 -03:00,30,71.1
10/01/2023 16:00:00 -03:00,28.8,76.5
10/01/2023 17:00:00 -03:00,27.8,80.6
