StudentID,Gender,Age,StudyHoursPerWeek,AttendanceRate,GPA,Major,PartTimeJob,ExtraCurricularActivities
1,1,24,37,90.75,3.47,Arts,1,0
2,0,22,37,74.9,2.32,Education,0,0
3,1,22,10,53.36,2.38,Business,0,0
4,1,24,10,70.26,3.46,Science,1,0
5,1,18,19,74.87,2.31,Education,1,0
6,0,20,17,86.01,2.47,Business,1,0
7,1,19,21,55.33,3.93,Arts,0,0
8,1,18,14,57.0,2.51,Education,0,0
9,1,19,9,63.18,3.32,Business,0,0
10,0,24,1,63.32,3.96,Engineering,1,1
11,1,23,13,86.61,2.75,Engineering,1,0
12,1,19,4,62.54,2.04,Science,0,1
13,1,20,1,81.65,2.49,Business,0,0
14,1,23,32,74.71,3.66,Engineering,1,0
15,0,19,34,78.66,3.73,Arts,1,1
16,1,24,28,91.91,3.54,Business,1,0
17,0,23,31,70.22,2.23,Arts,1,1
18,0,24,8,88.55,3.59,Arts,0,1
19,0,19,39,71.1,3.84,Engineering,1,1
20,1,24,26,67.69,3.2,Business,1,0
21,0,20,34,97.93,3.88,Education,1,0
22,1,19,3,59.22,3.65,Engineering,0,0
23,0,19,12,54.52,3.33,Engineering,0,1
24,0,19,1,88.55,3.15,Business,1,1
25,0,18,5,53.41,2.7,Business,1,0
26,0,18,30,91.85,2.32,Arts,1,0
27,0,18,30,71.86,3.21,Business,0,0
28,0,20,17,95.78,2.64,Arts,0,0
29,0,23,23,86.08,3.73,Engineering,0,0
30,0,24,15,80.52,3.99,Science,1,1
31,1,22,37,97.47,3.5,Education,0,1
32,1,19,21,69.83,2.18,Engineering,1,1
33,0,24,14,97.7,2.58,Business,1,0
34,0,19,2,56.75,2.22,Education,1,1
35,0,20,11,74.19,3.3,Science,0,1
36,1,19,39,63.5,3.53,Science,1,1
37,0,18,38,76.99,3.85,Arts,0,1
38,1,22,34,58.1,2.88,Education,0,1
39,1,21,38,92.08,3.8,Arts,1,0
40,1,19,34,92.32,3.76,Engineering,1,1
41,1,24,18,97.76,2.63,Education,0,0
42,1,18,30,57.73,3.74,Engineering,1,0
43,0,21,15,81.17,2.75,Arts,0,0
44,0,22,27,73.71,2.59,Education,1,0
45,0,21,34,67.22,3.3,Arts,0,0
46,0,18,38,67.58,2.66,Education,0,1
47,0,23,33,70.64,3.26,Arts,0,1
48,1,23,24,85.25,3.22,Science,0,0
49,0,21,15,79.91,3.13,Arts,1,0
50,0,20,30,72.98,2.76,Science,1,0
51,1,24,17,53.8,3.1,Arts,0,1
52,0,24,5,53.89,3.19,Education,0,0
53,1,21,29,50.12,3.09,Education,1,1
54,0,19,4,98.38,2.89,Education,1,0
55,1,19,10,50.26,2.03,Business,1,1
56,0,24,17,55.15,3.17,Engineering,1,0
57,0,24,10,65.73,2.34,Education,1,1
58,1,23,17,90.37,3.29,Science,1,0
59,1,20,20,98.1,3.52,Education,0,1
60,1,18,24,89.5,3.0,Business,1,1
61,1,19,5,84.53,3.08,Science,1,1
62,1,24,34,76.07,3.9,Business,0,1
63,1,23,6,54.34,3.69,Science,1,1
64,1,22,2,97.91,3.83,Arts,1,1
65,1,23,13,87.92,3.63,Engineering,1,1
66,0,19,11,81.95,2.22,Engineering,1,0
67,0,19,23,87.95,2.3,Business,1,0
68,1,23,16,86.21,3.05,Engineering,0,0
69,0,18,31,81.86,2.49,Business,1,0
70,0,21,11,99.03,2.95,Business,0,0
71,0,19,16,95.17,2.79,Business,0,1
72,0,23,8,82.33,3.1,Engineering,1,1
73,1,24,4,84.66,3.49,Business,0,1
74,0,23,4,52.58,3.43,Engineering,1,1
75,1,20,25,83.5,3.04,Business,0,1
76,0,21,3,52.21,3.64,Education,0,0
77,0,22,32,79.41,2.86,Business,1,0
78,0,18,3,99.97,3.79,Science,1,0
79,1,22,27,77.79,2.14,Business,1,0
80,0,21,29,73.66,3.91,Arts,1,1
81,1,21,32,65.64,3.31,Business,1,1
