StudentID,Age,StudyHoursPerWeek,AttendanceRate,GPA,Major,Gender,PartTimeJob,ExtraCurricularActivities
1,24,37,90.75,3.47,Arts,Male,Yes,No
2,22,37,74.9,2.32,Education,Female,No,No
3,22,10,53.36,2.38,Business,Male,No,No
4,24,10,70.26,3.46,Science,Male,Yes,No
5,18,19,74.87,2.31,Education,Male,Yes,No
6,20,17,86.01,2.47,Business,Female,Yes,No
7,19,21,55.33,3.93,Arts,Male,No,No
8,18,14,57.0,2.51,Education,Male,No,No
9,19,9,63.18,3.32,Business,Male,No,No
10,24,1,63.32,3.96,Engineering,Female,Yes,Yes
11,23,13,86.61,2.75,Engineering,Male,Yes,No
12,19,4,62.54,2.04,Science,Male,No,Yes
13,20,1,81.65,2.49,Business,Male,No,No
14,23,32,74.71,3.66,Engineering,Male,Yes,No
15,19,34,78.66,3.73,Arts,Female,Yes,Yes
16,24,28,91.91,3.54,Business,Male,Yes,No
17,23,31,70.22,2.23,Arts,Female,Yes,Yes
18,24,8,88.55,3.59,Arts,Female,No,Yes
19,19,39,71.1,3.84,Engineering,Female,Yes,Yes
20,24,26,67.69,3.2,Business,Male,Yes,No
21,20,34,97.93,3.88,Education,Female,Yes,No
22,19,3,59.22,3.65,Engineering,Male,No,No
23,19,12,54.52,3.33,Engineering,Female,No,Yes
24,19,1,88.55,3.15,Business,Female,Yes,Yes
25,18,5,53.41,2.7,Business,Female,Yes,No
26,18,30,91.85,2.32,Arts,Female,Yes,No
27,18,30,71.86,3.21,Business,Female,No,No
28,20,17,95.78,2.64,Arts,Female,No,No
29,23,23,86.08,3.73,Engineering,Female,No,No
30,24,15,80.52,3.99,Science,Female,Yes,Yes
31,22,37,97.47,3.5,Education,Male,No,Yes
32,19,21,69.83,2.18,Engineering,Male,Yes,Yes
33,24,14,97.7,2.58,Business,Female,Yes,No
34,19,2,56.75,2.22,Education,Female,Yes,Yes
35,20,11,74.19,3.3,Science,Female,No,Yes
36,19,39,63.5,3.53,Science,Male,Yes,Yes
37,18,38,76.99,3.85,Arts,Female,No,Yes
38,22,34,58.1,2.88,Education,Male,No,Yes
39,21,38,92.08,3.8,Arts,Male,Yes,No
40,19,34,92.32,3.76,Engineering,Male,Yes,Yes
41,24,18,97.76,2.63,Education,Male,No,No
42,18,30,57.73,3.74,Engineering,Male,Yes,No
43,21,15,81.17,2.75,Arts,Female,No,No
44,22,27,73.71,2.59,Education,Female,Yes,No
45,21,34,67.22,3.3,Arts,Female,No,No
46,18,38,67.58,2.66,Education,Female,No,Yes
47,23,33,70.64,3.26,Arts,Female,No,Yes
48,23,24,85.25,3.22,Science,Male,No,No
49,21,15,79.91,3.13,Arts,Female,Yes,No
50,20,30,72.98,2.76,Science,Female,Yes,No
51,24,17,53.8,3.1,Arts,Male,No,Yes
52,24,5,53.89,3.19,Education,Female,No,No
53,21,29,50.12,3.09,Education,Male,Yes,Yes
54,19,4,98.38,2.89,Education,Female,Yes,No
55,19,10,50.26,2.03,Business,Male,Yes,Yes
56,24,17,55.15,3.17,Engineering,Female,Yes,No
57,24,10,65.73,2.34,Education,Female,Yes,Yes
58,23,17,90.37,3.29,Science,Male,Yes,No
59,20,20,98.1,3.52,Education,Male,No,Yes
60,18,24,89.5,3.0,Business,Male,Yes,Yes
61,19,5,84.53,3.08,Science,Male,Yes,Yes
62,24,34,76.07,3.9,Business,Male,No,Yes
63,23,6,54.34,3.69,Science,Male,Yes,Yes
64,22,2,97.91,3.83,Arts,Male,Yes,Yes
65,23,13,87.92,3.63,Engineering,Male,Yes,Yes
66,19,11,81.95,2.22,Engineering,Female,Yes,No
67,19,23,87.95,2.3,Business,Female,Yes,No
68,23,16,86.21,3.05,Engineering,Male,No,No
69,18,31,81.86,2.49,Business,Female,Yes,No
70,21,11,99.03,2.95,Business,Female,No,No
71,19,16,95.17,2.79,Business,Female,No,Yes
72,23,8,82.33,3.1,Engineering,Female,Yes,Yes
73,24,4,84.66,3.49,Business,Male,No,Yes
74,23,4,52.58,3.43,Engineering,Female,Yes,Yes
75,20,25,83.5,3.04,Business,Male,No,Yes
76,21,3,52.21,3.64,Education,Female,No,No
77,22,32,79.41,2.86,Business,Female,Yes,No
78,18,3,99.97,3.79,Science,Female,Yes,No
79,22,27,77.79,2.14,Business,Male,Yes,No
80,21,29,73.66,3.91,Arts,Female,Yes,Yes
81,21,32,65.64,3.31,Business,Male,Yes,Yes
82,21,19,56.03,2.76,Science,Female,No,Yes
83,22,21,86.55,2.39,Science,Male,No,No
84,24,5,59.63,2.96,Engineering,Female,No,Yes
85,21,18,55.76,2.39,Education,Male,No,No
86,23,28,71.09,2.33,Business,Male,No,Yes
87,22,22,89.77,3.23,Engineering,Female,No,Yes
88,21,21,87.25,3.05,Education,Male,No,No
89,23,6,52.74,3.34,Business,Female,Yes,Yes
90,24,1,72.76,3.86,Arts,Female,Yes,Yes
91,20,5,76.12,3.06,Business,Female,No,No
92,24,12,82.23,3.16,Science,Female,No,Yes
93,21,26,82.51,2.18,Science,Female,Yes,No
94,22,34,68.23,3.44,Arts,Female,Yes,Yes
95,19,14,78.03,2.8,Engineering,Female,Yes,Yes
96,21,26,74.05,3.95,Education,Female,Yes,Yes
97,19,27,94.25,3.65,Business,Female,No,Yes
98,23,9,76.51,3.04,Science,Female,Yes,Yes
99,20,26,72.05,2.25,Engineering,Female,No,Yes
100,18,22,70.22,3.72,Arts,Male,No,Yes
101,24,30,78.62,3.6,Science,Male,No,Yes
102,20,17,90.2,2.37,Arts,Female,Yes,No
103,21,26,76.92,2.59,Business,Female,Yes,No
104,19,36,83.08,3.59,Education,Female,No,Yes
105,24,1,86.89,2.37,Science,Female,No,Yes
106,19,8,76.01,3.84,Science,Female,No,No
107,22,35,71.34,2.85,Business,Female,Yes,Yes
108,19,15,93.83,2.17,Engineering,Female,No,Yes
109,22,22,70.88,3.63,Education,Female,Yes,No
110,23,14,73.1,2.75,Science,Male,No,Yes
111,24,26,99.52,3.05,Education,Female,No,Yes
112,24,28,50.01,2.22,Science,Male,No,No
113,18,23,59.27,2.01,Education,Female,Yes,Yes
114,21,14,69.2,3.28,Arts,Female,Yes,Yes
115,22,24,96.63,3.03,Science,Male,No,No
116,18,2,53.5,3.19,Education,Female,Yes,Yes
117,19,26,50.47,3.59,Engineering,Male,No,No
118,19,14,52.63,3.29,Arts,Female,Yes,Yes
119,18,7,54.43,2.35,Arts,Female,Yes,Yes
120,24,3,51.88,2.72,Engineering,Male,Yes,No
121,19,23,73.99,3.81,Education,Female,No,No
122,23,18,79.04,3.54,Business,Male,Yes,Yes
123,23,38,63.58,3.11,Engineering,Female,Yes,No
124,18,35,69.91,2.51,Education,Male,No,No
125,22,15,54.58,2.6,Engineering,Male,No,Yes
126,22,25,66.82,3.46,Engineering,Female,No,Yes
127,18,37,76.13,3.7,Science,Female,No,Yes
128,22,28,86.61,3.34,Education,Male,Yes,No
129,24,10,50.17,3.62,Business,Female,Yes,No
130,24,39,73.37,3.53,Science,Female,Yes,No
131,22,17,64.85,2.3,Engineering,Female,Yes,No
132,23,39,92.64,2.85,Engineering,Male,Yes,Yes
133,22,22,85.78,2.31,Engineering,Male,No,No
134,24,26,79.46,2.47,Education,Male,Yes,Yes
